ParcelMaster.parcelnumber,Parcels.current_taxable
06-151-0066-100,0
06-151-0067-000,0
06-151-0068-000,200498
06-151-0068-100,365245
06-151-0069-000,0
06-151-0070-000,0
06-151-0071-000,319305
06-151-0072-000,929521
06-151-0074-000,375770
06-151-0075-000,134775
06-151-0076-000,0
06-151-0076-100,0
06-151-0076-200,0
06-151-0078-000,1418875
06-151-0082-000,0
06-151-0083-000,2547300
06-151-0084-000,25821
06-151-0085-000,38328
06-151-0087-000,1433057
06-151-0088-000,3021067
06-151-0089-000,0
06-151-0095-000,2001834
06-151-0098-000,196319
06-151-0102-000,0
06-151-0104-000,0
06-151-0104-100,0
06-152-0001-000,400
06-152-0002-000,0
06-152-0003-000,0
06-152-0004-000,0
06-152-0004-100,301875
06-152-0005-000,0
06-152-0006-000,0
06-152-0007-000,0
06-152-0008-000,424410
06-152-0009-000,0
06-152-0010-000,0
06-152-0011-000,0
06-152-0012-000,0
06-152-0012-100,0
06-152-0012-101,179340
06-152-0014-000,0
06-152-0015-000,0
06-152-0016-000,141438
06-152-0017-000,245050
06-152-0018-000,120100
06-152-0024-000,88205
06-152-0025-000,198870
06-152-0026-000,101316
06-152-0027-000,18200
06-155-0001-000,43000
06-155-0002-000,36648
06-155-0002-100,34284
06-155-0003-000,19051
06-155-0004-000,25551
06-155-0005-000,13829
06-155-0006-000,10519
06-155-0007-000,1429
06-155-0008-000,0
06-155-0009-000,0
06-155-0009-100,34153
06-155-0010-000,26953
06-155-0011-000,0
06-155-0011-100,36119
06-155-0012-000,0
06-155-0013-000,45300
06-155-0014-000,33300
06-155-0015-000,17612
06-155-0016-000,15720
06-155-0017-000,25700
06-155-0018-000,13948
06-155-0019-000,0
06-155-0020-000,9469
06-155-0021-000,16194
06-155-0022-000,1318
06-155-0023-000,31996
06-155-0024-000,29795
06-155-0025-000,28913
06-155-0026-000,25720
06-155-0027-000,24877
06-155-0028-000,22951
06-155-0029-000,24350
06-155-0030-000,38538
06-155-0031-000,19385
06-155-0032-000,19835
06-155-0033-000,24490
06-155-0034-000,16902
06-158-0001-000,107100
06-158-0002-000,34965
06-158-0003-000,56122
06-158-0004-000,23008
06-158-0005-000,26447
06-158-0006-000,25061
06-158-0007-000,26393
06-158-0008-000,0
06-158-0009-000,0
06-158-0009-100,22959
06-158-0010-000,22289
06-158-0011-000,22105
06-158-0012-000,13159
06-158-0013-000,19977
06-158-0014-000,0
06-161-0001-000,15366
06-161-0002-000,22105
06-161-0003-000,34000
06-161-0004-000,25254
06-161-0005-000,33983
06-161-0006-000,49800
06-161-0007-000,24232
06-161-0008-000,0
06-161-0009-000,0
06-161-0010-000,0
06-161-0010-100,0
06-161-0010-110,66300
06-161-0011-000,65520
06-161-0012-000,30826
06-161-0013-000,27189
06-161-0014-000,69720
06-161-0015-000,25966
06-161-0017-000,21042
06-161-0018-000,28457
06-161-0019-000,27512
06-161-0020-000,0
06-161-0021-000,0
06-161-0021-100,22105
06-161-0022-000,51660
06-164-0001-000,0
06-164-0001-100,18549
06-164-0002-000,21320
06-164-0003-000,38548
06-164-0004-000,27825
06-164-0005-000,24332
06-164-0006-000,14893
06-164-0007-000,31077
06-164-0008-000,29994
06-164-0009-000,46314
06-164-0010-000,42795
06-164-0011-000,29392
06-164-0012-000,23490
06-164-0013-000,32935
06-164-0014-000,48266
06-164-0015-000,34644
06-164-0016-000,0
06-164-0017-000,20478
06-164-0018-000,31321
06-164-0019-000,0
06-164-0020-000,44693
06-164-0021-000,35295
06-164-0022-000,35295
06-164-0023-000,34574
06-164-0024-000,0
06-164-0025-000,46591
06-164-0026-000,34453
06-164-0027-000,35897
06-164-0028-000,31077
06-164-0029-000,68100
06-164-0030-000,24211
06-167-0001-000,46621
06-167-0002-000,20854
06-167-0003-000,32982
06-167-0004-000,0
06-167-0004-100,2000
06-167-0004-200,33700
06-167-0005-000,0
06-167-0006-000,0
06-167-0006-100,15130
06-167-0007-000,28099
06-167-0008-000,26677
06-167-0009-000,0
06-167-0010-000,27778
